node	h*	cg(transform = adapt_costs(cost_type = one))	ff(transform = adapt_costs(cost_type = one))	edges	edge costs
68	3	3	3	95,51,62	1,1,1
69	3	4	3	52,117,118	1,1,1
70	3	4	3	53,119,120	1,1,1
71	1	1	1	72,53,58,73,44	1,1,1,1,1
72	2	2	2	71,59	1,1
73	2	2	2	81,71,78	1,1,1
74	3	3	3	102,56,66	1,1,1
75	3	4	3	57,121,122	1,1,1
76	3	4	3	58,123,124	1,1,1
77	3	4	3	63,125,126	1,1,1
78	1	1	1	79,44,63,67,73	1,1,1,1,1
79	2	2	2	78,48	1,1
80	3	4	3	67,127,128	1,1,1
81	3	4	3	73,34,33	1,1,1
82	4	2	3	48,83,84,36,85,86,87	1,1,1,1,1,1,1
83	5	3	4	110,82,131,132	1,1,1,1
84	5	3	4	112,82,133,134	1,1,1,1
85	5	3	4	125,133,129,82	1,1,1,1
86	5	3	4	127,131,130,82	1,1,1,1
87	5	3	4	34,132,134,82	1,1,1,1
88	4	2	3	59,89,90,91,92,93,94	1,1,1,1,1,1,1
89	5	3	4	120,88,135,136	1,1,1,1
90	5	3	4	124,88,137,138	1,1,1,1
91	5	3	4	33,88,139,140	1,1,1,1
92	5	3	4	113,137,139,88	1,1,1,1
93	5	3	4	115,135,140,88	1,1,1,1
94	5	3	4	35,136,138,88	1,1,1,1
95	4	2	3	68,96,97,98,99,100,101	1,1,1,1,1,1,1
96	5	3	4	122,95,141,142	1,1,1,1
